Index,TIMESTAMP,BID_PRICE,BID_SIZE,ASK_PRICE,ASK_SIZE
9615,2014-01-02 03:15:05.708352,231.77,1.0,231.8,1.0
9616,2014-01-02 03:15:10.208923,231.77,3.0,231.8,1.0
9617,2014-01-02 03:15:11.209646,231.77,2.0,231.8,2.0
9618,2014-01-02 03:15:11.709691,231.77,2.0,231.8,1.0
9619,2014-01-02 03:15:13.709828,231.77,2.0,231.8,2.0
9620,2014-01-02 03:15:14.209988,231.77,2.0,231.8,1.0
9621,2014-01-02 03:15:14.710175,231.76,3.0,231.8,1.0
9622,2014-01-02 03:15:15.210464,231.76,3.0,231.79,2.0
9623,2014-01-02 03:15:15.710044,231.76,3.0,231.79,4.0
9624,2014-01-02 03:15:16.211102,231.77,2.0,231.81,1.0
9625,2014-01-02 03:15:18.211310,231.77,3.0,231.81,1.0
9626,2014-01-02 03:15:18.711573,231.78,1.0,231.81,1.0
9627,2014-01-02 03:15:19.211618,231.78,1.0,231.81,2.0
9628,2014-01-02 03:15:19.711499,231.78,2.0,231.81,2.0
9629,2014-01-02 03:15:20.211682,231.78,1.0,231.81,2.0
9630,2014-01-02 03:15:20.711886,231.77,3.0,231.81,1.0
9631,2014-01-02 03:15:21.212036,231.77,6.0,231.81,1.0
9632,2014-01-02 03:15:23.712028,231.77,1.0,231.81,1.0
9633,2014-01-02 03:15:26.213265,231.78,3.0,231.81,1.0
9634,2014-01-02 03:15:28.213800,231.78,3.0,231.83,3.0
9635,2014-01-02 03:15:29.713846,231.78,3.0,231.82,1.0
9636,2014-01-02 03:15:30.713804,231.78,2.0,231.82,1.0
9637,2014-01-02 03:15:31.714619,231.78,2.0,231.82,3.0
9638,2014-01-02 03:15:32.714414,231.78,4.0,231.82,2.0
9639,2014-01-02 03:15:34.714574,231.78,4.0,231.82,3.0
9640,2014-01-02 03:15:35.214822,231.78,2.0,231.82,1.0
9641,2014-01-02 03:15:36.215083,231.78,2.0,231.81,1.0
9642,2014-01-02 03:15:36.715383,231.77,4.0,231.81,1.0
9643,2014-01-02 03:15:37.715510,231.77,5.0,231.82,2.0
9644,2014-01-02 03:15:38.215410,231.77,1.0,231.82,4.0
9645,2014-01-02 03:15:40.711852,231.76,9.0,231.82,6.0
9646,2014-01-02 03:15:41.216927,231.75,2.0,231.78,1.0
9647,2014-01-02 03:15:41.717092,231.75,2.0,231.78,3.0
9648,2014-01-02 03:15:43.217065,231.74,3.0,231.78,4.0
9649,2014-01-02 03:15:44.717508,231.75,1.0,231.78,4.0
9650,2014-01-02 03:15:45.217412,231.74,1.0,231.78,3.0
9651,2014-01-02 03:15:45.717658,231.75,2.0,231.78,3.0
9652,2014-01-02 03:15:48.718497,231.75,3.0,231.79,2.0
9653,2014-01-02 03:15:49.218819,231.76,1.0,231.79,2.0
9654,2014-01-02 03:15:50.218934,231.76,1.0,231.8,1.0
9655,2014-01-02 03:15:50.718800,231.76,2.0,231.8,1.0
9656,2014-01-02 03:15:51.219039,231.76,3.0,231.8,3.0
9657,2014-01-02 03:15:51.719039,231.76,3.0,231.8,1.0
9658,2014-01-02 03:15:52.218855,231.76,4.0,231.8,1.0
9659,2014-01-02 03:15:52.719096,231.76,5.0,231.8,1.0
9660,2014-01-02 03:15:53.219411,231.76,6.0,231.8,1.0
9661,2014-01-02 03:15:53.719625,231.77,1.0,231.8,1.0
9662,2014-01-02 03:15:54.219762,231.77,5.0,231.8,1.0
9663,2014-01-02 03:15:54.719838,231.77,5.0,231.81,1.0
9664,2014-01-02 03:15:55.219972,231.77,5.0,231.8,1.0
9665,2014-01-02 03:15:55.720237,231.77,3.0,231.82,3.0
9666,2014-01-02 03:15:57.720718,231.77,6.0,231.82,1.0
9667,2014-01-02 03:15:58.220765,231.78,1.0,231.82,1.0
9668,2014-01-02 03:15:58.719405,231.78,2.0,231.82,1.0
9669,2014-01-02 03:16:01.220980,231.78,3.0,231.82,1.0
9670,2014-01-02 03:16:01.721614,231.77,1.0,231.81,1.0
9671,2014-01-02 03:16:02.222032,231.77,1.0,231.81,3.0
9672,2014-01-02 03:16:02.722012,231.77,1.0,231.8,1.0
9673,2014-01-02 03:16:03.722899,231.76,1.0,231.8,3.0
9674,2014-01-02 03:16:04.222264,231.76,1.0,231.79,1.0
9675,2014-01-02 03:16:04.722504,231.76,2.0,231.8,2.0
9676,2014-01-02 03:16:05.222643,231.76,3.0,231.81,2.0
9677,2014-01-02 03:16:05.722925,231.77,11.0,231.81,1.0
9678,2014-01-02 03:16:06.222610,231.77,12.0,231.81,1.0
9679,2014-01-02 03:16:07.223499,231.78,1.0,231.83,3.0
9680,2014-01-02 03:16:07.723657,231.78,1.0,231.83,2.0
9681,2014-01-02 03:16:10.224448,231.79,2.0,231.83,2.0
9682,2014-01-02 03:16:10.724432,231.79,2.0,231.83,3.0
9683,2014-01-02 03:16:11.224087,231.79,1.0,231.83,4.0
9684,2014-01-02 03:16:13.724842,231.8,1.0,231.83,3.0
9685,2014-01-02 03:16:14.225193,231.79,1.0,231.83,3.0
9686,2014-01-02 03:16:14.725274,231.78,2.0,231.83,2.0
9687,2014-01-02 03:16:15.225254,231.8,1.0,231.83,1.0
9688,2014-01-02 03:16:16.225695,231.8,4.0,231.84,1.0
9689,2014-01-02 03:16:18.726241,231.81,1.0,231.84,1.0
9690,2014-01-02 03:16:19.226293,231.81,2.0,231.84,1.0
9691,2014-01-02 03:16:20.221884,231.81,2.0,231.85,1.0
9692,2014-01-02 03:16:20.727000,231.82,1.0,231.85,2.0
9693,2014-01-02 03:16:21.727173,231.81,1.0,231.85,2.0
9694,2014-01-02 03:16:22.227260,231.81,2.0,231.85,2.0
9695,2014-01-02 03:16:22.728111,231.81,1.0,231.85,2.0
9696,2014-01-02 03:16:23.727865,231.82,1.0,231.85,1.0
9697,2014-01-02 03:16:24.223042,231.81,2.0,231.86,4.0
9698,2014-01-02 03:16:25.724723,231.84,1.0,231.87,2.0
9699,2014-01-02 03:16:26.228422,231.84,1.0,231.87,1.0
9700,2014-01-02 03:16:26.723900,231.81,3.0,231.87,3.0
9701,2014-01-02 03:16:27.228796,231.82,1.0,231.87,3.0
9702,2014-01-02 03:16:28.726141,231.82,3.0,231.87,1.0
9703,2014-01-02 03:16:31.230367,231.81,2.0,231.87,5.0
9704,2014-01-02 03:16:31.729886,231.81,2.0,231.85,1.0
9705,2014-01-02 03:16:32.230259,231.81,1.0,231.86,2.0
9706,2014-01-02 03:16:32.730418,231.81,3.0,231.87,4.0
9707,2014-01-02 03:16:33.731169,231.82,3.0,231.86,4.0
9708,2014-01-02 03:16:34.226515,231.82,3.0,231.86,11.0
9709,2014-01-02 03:16:34.726937,231.8,8.0,231.86,11.0
9710,2014-01-02 03:16:35.227443,231.81,2.0,231.86,11.0
9711,2014-01-02 03:16:35.731539,231.81,2.0,231.86,12.0
9712,2014-01-02 03:16:36.231354,231.81,2.0,231.85,3.0
9713,2014-01-02 03:16:36.731823,231.82,2.0,231.85,3.0
9714,2014-01-02 03:16:37.231468,231.82,1.0,231.85,6.0
9715,2014-01-02 03:16:38.231065,231.82,1.0,231.85,7.0
9716,2014-01-02 03:16:38.731616,231.82,2.0,231.85,6.0
9717,2014-01-02 03:16:39.731719,231.82,2.0,231.85,5.0
9718,2014-01-02 03:16:40.732240,231.82,1.0,231.85,5.0
9719,2014-01-02 03:16:42.232281,231.82,1.0,231.85,4.0
9720,2014-01-02 03:16:43.732337,231.82,1.0,231.85,3.0
9721,2014-01-02 03:16:44.232903,231.82,1.0,231.85,4.0
9722,2014-01-02 03:16:44.732413,231.82,2.0,231.85,1.0
9723,2014-01-02 03:16:48.228446,231.82,1.0,231.85,1.0
9724,2014-01-02 03:16:49.733664,231.81,2.0,231.85,1.0
9725,2014-01-02 03:16:50.233711,231.81,3.0,231.85,1.0
9726,2014-01-02 03:16:50.733828,231.81,3.0,231.85,2.0
9727,2014-01-02 03:16:51.234006,231.81,2.0,231.85,5.0
9728,2014-01-02 03:16:52.734194,231.81,1.0,231.85,5.0
9729,2014-01-02 03:16:53.735094,231.82,2.0,231.85,1.0
9730,2014-01-02 03:16:55.235168,231.82,1.0,231.85,3.0
9731,2014-01-02 03:16:56.235135,231.82,1.0,231.85,2.0
9732,2014-01-02 03:16:56.735240,231.83,1.0,231.85,1.0
9733,2014-01-02 03:16:59.235870,231.84,1.0,231.87,1.0
9734,2014-01-02 03:17:00.236190,231.84,1.0,231.88,2.0
9735,2014-01-02 03:17:00.736570,231.84,1.0,231.88,1.0
9736,2014-01-02 03:17:01.737138,231.85,2.0,231.9,3.0
9737,2014-01-02 03:17:02.237661,231.86,2.0,231.9,2.0
9738,2014-01-02 03:17:05.237870,231.86,2.0,231.91,3.0
9739,2014-01-02 03:17:05.738287,231.85,1.0,231.91,6.0
9740,2014-01-02 03:17:06.238294,231.85,2.0,231.91,6.0
9741,2014-01-02 03:17:06.739272,231.89,3.0,231.92,1.0
9742,2014-01-02 03:17:07.239266,231.87,1.0,231.92,1.0
9743,2014-01-02 03:17:07.739510,231.89,1.0,231.92,1.0
9744,2014-01-02 03:17:08.739889,231.86,11.0,231.92,5.0
9745,2014-01-02 03:17:09.739513,231.86,11.0,231.9,1.0
9746,2014-01-02 03:17:10.239537,231.85,2.0,231.9,2.0
9747,2014-01-02 03:17:10.739945,231.85,1.0,231.9,5.0
9748,2014-01-02 03:17:11.240414,231.84,1.0,231.88,1.0
9749,2014-01-02 03:17:11.740439,231.84,1.0,231.88,2.0
9750,2014-01-02 03:17:12.240464,231.84,2.0,231.88,2.0
9751,2014-01-02 03:17:12.740278,231.84,1.0,231.88,1.0
9752,2014-01-02 03:17:13.240698,231.84,2.0,231.89,1.0
9753,2014-01-02 03:17:14.741305,231.85,2.0,231.9,3.0
9754,2014-01-02 03:17:15.741389,231.85,1.0,231.88,1.0
9755,2014-01-02 03:17:18.741979,231.85,1.0,231.9,5.0
9756,2014-01-02 03:17:19.240715,231.86,1.0,231.9,3.0
9757,2014-01-02 03:17:19.740617,231.86,1.0,231.9,2.0
9758,2014-01-02 03:17:20.242565,231.86,2.0,231.9,2.0
9759,2014-01-02 03:17:21.242506,231.86,1.0,231.9,3.0
9760,2014-01-02 03:17:21.743032,231.85,2.0,231.9,4.0
9761,2014-01-02 03:17:24.743254,231.85,1.0,231.9,3.0
9762,2014-01-02 03:17:26.243392,231.85,1.0,231.9,2.0
9763,2014-01-02 03:17:27.743859,231.85,1.0,231.89,1.0
9764,2014-01-02 03:17:28.243657,231.85,1.0,231.89,2.0
9765,2014-01-02 03:17:28.744215,231.84,12.0,231.89,2.0
9766,2014-01-02 03:17:29.743507,231.84,2.0,231.89,2.0
9767,2014-01-02 03:17:31.245377,231.84,1.0,231.89,2.0
9768,2014-01-02 03:17:31.744646,231.84,1.0,231.89,3.0
9769,2014-01-02 03:17:32.745193,231.84,3.0,231.89,1.0
9770,2014-01-02 03:17:33.245015,231.84,1.0,231.89,1.0
9771,2014-01-02 03:17:35.745890,231.85,2.0,231.89,1.0
9772,2014-01-02 03:17:37.246269,231.86,2.0,231.89,1.0
9773,2014-01-02 03:17:37.746365,231.86,3.0,231.89,1.0
9774,2014-01-02 03:17:38.246382,231.86,5.0,231.89,1.0
9775,2014-01-02 03:17:38.746700,231.88,1.0,231.89,1.0
9776,2014-01-02 03:17:39.247099,231.88,4.0,231.93,4.0
9777,2014-01-02 03:17:40.247394,231.86,1.0,231.91,4.0
9778,2014-01-02 03:17:40.747276,231.86,1.0,231.91,2.0
9779,2014-01-02 03:17:41.747438,231.86,1.0,231.9,2.0
9780,2014-01-02 03:17:43.247367,231.86,2.0,231.9,2.0
9781,2014-01-02 03:17:43.747727,231.86,3.0,231.9,2.0
9782,2014-01-02 03:17:44.747942,231.86,2.0,231.9,2.0
9783,2014-01-02 03:17:48.249061,231.86,1.0,231.9,3.0
9784,2014-01-02 03:17:48.749297,231.86,2.0,231.91,8.0
9785,2014-01-02 03:17:50.248988,231.86,2.0,231.9,2.0
9786,2014-01-02 03:17:50.749605,231.86,1.0,231.9,3.0
9787,2014-01-02 03:17:52.746961,231.85,4.0,231.9,3.0
9788,2014-01-02 03:17:53.250415,231.85,2.0,231.9,3.0
9789,2014-01-02 03:17:54.250321,231.85,3.0,231.9,4.0
9790,2014-01-02 03:17:54.750114,231.85,2.0,231.9,4.0
9791,2014-01-02 03:17:55.250412,231.85,1.0,231.9,4.0
9792,2014-01-02 03:17:55.750675,231.85,4.0,231.9,3.0
9793,2014-01-02 03:17:56.250669,231.85,4.0,231.9,2.0
9794,2014-01-02 03:18:02.251850,231.85,5.0,231.9,1.0
9795,2014-01-02 03:18:03.752074,231.85,3.0,231.9,4.0
9796,2014-01-02 03:18:04.252132,231.85,3.0,231.9,6.0
9797,2014-01-02 03:18:04.752366,231.87,6.0,231.9,5.0
9798,2014-01-02 03:18:06.752433,231.87,7.0,231.9,5.0
9799,2014-01-02 03:18:07.753093,231.86,1.0,231.9,6.0
9800,2014-01-02 03:18:08.253669,231.85,1.0,231.89,2.0
9801,2014-01-02 03:18:08.753507,231.85,1.0,231.89,4.0
9802,2014-01-02 03:18:10.253711,231.85,1.0,231.89,5.0
9803,2014-01-02 03:18:10.754420,231.83,1.0,231.89,6.0
9804,2014-01-02 03:18:11.254531,231.84,2.0,231.88,1.0
9805,2014-01-02 03:18:11.754604,231.83,1.0,231.88,1.0
9806,2014-01-02 03:18:12.254613,231.83,1.0,231.88,4.0
9807,2014-01-02 03:18:15.255248,231.83,1.0,231.87,10.0
9808,2014-01-02 03:18:15.755458,231.82,1.0,231.87,15.0
9809,2014-01-02 03:18:20.756288,231.81,6.0,231.86,2.0
9810,2014-01-02 03:18:21.256879,231.81,1.0,231.85,2.0
9811,2014-01-02 03:18:21.757049,231.81,1.0,231.85,3.0
9812,2014-01-02 03:18:22.756969,231.8,1.0,231.84,1.0
9813,2014-01-02 03:18:23.257338,231.79,3.0,231.83,4.0
9814,2014-01-02 03:18:24.257504,231.79,3.0,231.83,6.0
9815,2014-01-02 03:18:24.757522,231.79,4.0,231.83,5.0
9816,2014-01-02 03:18:25.757898,231.79,3.0,231.83,6.0
9817,2014-01-02 03:18:26.258275,231.79,2.0,231.82,1.0
9818,2014-01-02 03:18:27.258233,231.79,1.0,231.82,2.0
9819,2014-01-02 03:18:28.257142,231.77,9.0,231.82,2.0
9820,2014-01-02 03:18:29.758933,231.77,5.0,231.81,1.0
9821,2014-01-02 03:18:30.259003,231.77,5.0,231.81,3.0
9822,2014-01-02 03:18:31.759142,231.77,4.0,231.81,2.0
9823,2014-01-02 03:18:32.258942,231.77,5.0,231.81,2.0
9824,2014-01-02 03:18:33.259488,231.77,5.0,231.81,1.0
9825,2014-01-02 03:18:34.259922,231.77,6.0,231.81,1.0
9826,2014-01-02 03:18:34.757348,231.76,4.0,231.8,15.0
9827,2014-01-02 03:18:35.760061,231.76,4.0,231.8,16.0
9828,2014-01-02 03:18:36.260138,231.76,2.0,231.8,16.0
9829,2014-01-02 03:18:37.260281,231.76,1.0,231.8,14.0
9830,2014-01-02 03:18:43.261475,231.77,1.0,231.8,14.0
9831,2014-01-02 03:18:44.261847,231.77,2.0,231.81,1.0
9832,2014-01-02 03:18:44.761696,231.77,1.0,231.81,4.0
9833,2014-01-02 03:18:45.262042,231.77,1.0,231.8,3.0
9834,2014-01-02 03:18:46.262312,231.77,1.0,231.8,10.0
9835,2014-01-02 03:18:47.262519,231.76,3.0,231.79,2.0
9836,2014-01-02 03:18:47.762747,231.76,3.0,231.8,9.0
9837,2014-01-02 03:18:48.762659,231.76,2.0,231.8,9.0
9838,2014-01-02 03:18:50.263997,231.74,5.0,231.78,4.0
9839,2014-01-02 03:18:50.763702,231.74,5.0,231.78,6.0
9840,2014-01-02 03:18:51.763868,231.74,5.0,231.77,4.0
9841,2014-01-02 03:18:52.263774,231.74,5.0,231.77,5.0
9842,2014-01-02 03:18:53.264094,231.74,8.0,231.77,5.0
9843,2014-01-02 03:18:53.764749,231.72,2.0,231.77,6.0
9844,2014-01-02 03:18:58.264483,231.72,2.0,231.77,4.0
9845,2014-01-02 03:19:03.265579,231.72,2.0,231.77,5.0
9846,2014-01-02 03:19:03.766469,231.71,2.0,231.77,7.0
9847,2014-01-02 03:19:04.266938,231.72,1.0,231.76,5.0
9848,2014-01-02 03:19:04.766632,231.72,1.0,231.76,1.0
9849,2014-01-02 03:19:05.762033,231.7,2.0,231.75,2.0
9850,2014-01-02 03:19:06.267746,231.71,2.0,231.75,4.0
9851,2014-01-02 03:19:08.266812,231.7,1.0,231.75,4.0
9852,2014-01-02 03:19:08.767651,231.7,3.0,231.75,5.0
9853,2014-01-02 03:19:09.267763,231.7,4.0,231.75,4.0
9854,2014-01-02 03:19:09.767717,231.7,5.0,231.75,4.0
9855,2014-01-02 03:19:10.268437,231.72,1.0,231.75,5.0
9856,2014-01-02 03:19:11.768746,231.71,1.0,231.75,5.0
9857,2014-01-02 03:19:12.768866,231.7,2.0,231.75,6.0
9858,2014-01-02 03:19:13.269133,231.7,4.0,231.75,6.0
9859,2014-01-02 03:19:13.768898,231.7,4.0,231.75,3.0
9860,2014-01-02 03:19:14.268937,231.7,5.0,231.75,3.0
9861,2014-01-02 03:19:14.768834,231.7,5.0,231.74,1.0
9862,2014-01-02 03:19:15.268528,231.7,4.0,231.74,1.0
9863,2014-01-02 03:19:15.769620,231.71,2.0,231.74,1.0
9864,2014-01-02 03:19:16.269833,231.7,2.0,231.73,4.0
9865,2014-01-02 03:19:16.766963,231.7,1.0,231.73,4.0
9866,2014-01-02 03:19:17.269960,231.7,1.0,231.73,7.0
9867,2014-01-02 03:19:17.765587,231.69,2.0,231.73,7.0
9868,2014-01-02 03:19:21.270527,231.69,2.0,231.73,6.0
9869,2014-01-02 03:19:22.270728,231.69,2.0,231.73,7.0
9870,2014-01-02 03:19:22.770867,231.69,2.0,231.73,6.0
9871,2014-01-02 03:19:23.771177,231.69,2.0,231.72,1.0
9872,2014-01-02 03:19:24.271525,231.69,3.0,231.73,5.0
9873,2014-01-02 03:19:24.772166,231.69,2.0,231.72,4.0
9874,2014-01-02 03:19:25.272622,231.69,6.0,231.73,1.0
9875,2014-01-02 03:19:25.772695,231.7,2.0,231.74,3.0
9876,2014-01-02 03:19:26.272723,231.7,2.0,231.74,4.0
9877,2014-01-02 03:19:30.273984,231.71,5.0,231.75,3.0
9878,2014-01-02 03:19:30.773784,231.71,7.0,231.75,3.0
9879,2014-01-02 03:19:31.273705,231.71,6.0,231.75,3.0
9880,2014-01-02 03:19:32.274167,231.72,1.0,231.75,3.0
9881,2014-01-02 03:19:32.774733,231.73,1.0,231.76,1.0
9882,2014-01-02 03:19:33.274791,231.73,3.0,231.76,1.0
9883,2014-01-02 03:19:33.774715,231.73,3.0,231.78,3.0
9884,2014-01-02 03:19:34.274677,231.74,1.0,231.78,4.0
9885,2014-01-02 03:19:35.274867,231.74,5.0,231.78,3.0
9886,2014-01-02 03:19:36.275585,231.75,2.0,231.8,1.0
9887,2014-01-02 03:19:36.776269,231.76,2.0,231.81,11.0
9888,2014-01-02 03:19:37.275506,231.76,3.0,231.81,11.0
9889,2014-01-02 03:19:37.776635,231.74,2.0,231.79,3.0
9890,2014-01-02 03:19:38.276274,231.74,2.0,231.79,2.0
9891,2014-01-02 03:19:38.776565,231.74,1.0,231.79,4.0
9892,2014-01-02 03:19:41.777411,231.74,1.0,231.78,4.0
9893,2014-01-02 03:19:44.775565,231.73,3.0,231.77,2.0
